MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
5[C],3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
j.5[C],9,,
3C,170,,
6A,180,,
6[A],180,,
6A~B,181,,
6A~B~C,182,,
6A~B~C~236C,183,,
6A~B~C~214C,184,,
4C,46,,
Throw,63,0,
gAT,271,0,
AT,272,0,
22A,147,,
22B,148,,
22C,149,,
22D,495,,
j.22A,172,,
j.22B,173,,
j.22C,174,,
236A,108,,
236B,102,,
236[B],103,,
236C,468,,
236[C],468,,
j.236A,172,,
j.236B,173,,
j.236C,174,,
623A,68,,
623B,69,,
623B~236X,391,,
623C,70,,
j.623A,535,,
j.623B,536,,
j.623C,537,,
214A,72,,
214B,73,,
214C,74,,
j.214A,75,,
j.214B,76,,
j.214C,562,,
421A,207,,
421B,208,,
421C,209,,
63214A,234,,
63214B,231,,
63214C,235,,
dash,60,0,
backdash,61,0,
airdash,43,0,
airbackdash,44,0,
dodge,45,0,
airdodge,270,0,
AD,115,,
AAD,115,,
214D,96,,
5D,54,0,
2D,55,0,
j.5D,56,0,
