MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6C,71,,
6C~C,125,,
6CC,125,,
6C~6C~236C,126,,
6CC236C,126,,
j.2C,70,,
j.5B~B,185,,
j.6B,495,,
6B,186,,
4B,73,,
Throw,55,,
gAT,273,,
AT,272,,
22A,410,0,
22B,411,0,
22C,412,0,
236A,370,,
236B,371,,
236C,372,,
j.236A,377,,
j.236B,378,,
j.236C,379,,
236X~236A,387,,
236X~236B,386,,
236X~236C,386,,
623A,160,,
623B,161,,
623C,162,,
214A,500,,
214B,501,,
214A~3,500,,
214B~3,501,,
214A~2,500,,
214B~2,501,,
214A~1,500,,
214B~1,501,,
214A~6,500,,
214B~6,501,,
214C,502,,
421A,,,
421B,,,
421C,,,
AD,206,,
AAD,206,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,475,,
Jump SC,476,,
5D,81,,
2D,82,,
j.5D,83,,
airdash,77,0,
airbackdash,78,0,
walk,10,0,
backwalk,11,0,
dash,65,0,
backdash,67,0,
4,10,0,
6,11,0,
