MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
5BB,2,,
5B~B,2,,
5B[B],2,,
5B~[B],2,,
6C,206,,
Throw,70,,
gAT,274,,
AT,272,,
22A,100,,
22B,101,0,
22C,102,,
j.22A,443,0,
j.22B,444,0,
j.22C,445,0,
236A,194,,
236B,193,,
236C,400,,
236C~236C,401,,
236C~236C~236C,402,,
j.236A,90,,
j.236A~j.236B,98,,
j.236B,91,,
j.236C,92,,
623A,417,,
623B,186,,
623C,187,,
214A,110,,
214B,115,,
214C,117,,
j.214A,392,,
j.214B,393,,
j.214C,471,,
AD,150,,
AAD,155,,
IH,0,,
214D,180,,
5D,65,,
2D,66,,
j.5D,67,,
dash,60,,
backdash,61,,
airdash,62,,
airbackdash,63,,
