MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,447,,
6AA,448,,
5A6A,447,,
5A6AA,448,,
4B,172,,
4C,,,
6C,71,,
j.2C,73,,
Throw,55,,
gAT,272,,
AT,273,,
AT(whiff),271,,
22A,120,,
22B,121,,
22C,122,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,410,,
236B,411,,
236C,162,,
j.236A,75,,
j.236B,76,,
j.236C,213,,
623A,143,,
623B,144,,
623C,146,,
j.623A,,,
j.623B,,,
j.623C,,,
214A,150,,
214B,151,,
214C,152,,
j.214A,174,,
j.214B,175,,
j.214C,176,0,
421A,416,,
421B,417,,
421C,129,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,531,,
AD,200,0,
AAD,200,0,
j.IH,0,,
IH,0,,
214D,,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,65,0,
backdash,67,0,
airdash,77,0,
airbackdash,78,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
