MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
j.5B~5B,185,,
6AA,,,
5A6A,,,
5A6AA,,,
6B,186,,
4C,,,
3C,,,
4B,73,,
6C,71,,
6C~6C,125,,
6C~6C~236C,126,,
j.2C,70,,
Throw,55,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,410,0,
22B,411,0,
22C,412,0,
j.22A,,,
j.22B,,,
j.22C,,,
236A,370,,
236B,371,,
236C,372,,
236X~236A,387,,
236X~236B,386,,
j.236A,377,,
j.236B,378,,
j.236C,379,,
623A,160,,
623B,161,,
623C,162,,
j.623A,,,
j.623B,,,
j.623C,,,
214A,109,0,
214B,110,0,
214C,111,0,
j.214A,620,0,
j.214B,621,0,
j.214C,622,0,
421A,,,
421B,,,
421C,,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,,,
AD,203,,
AAD,278,,
j.IH,0,,
IH,0,,
214D,181,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,65,0,
backdash,67,0,
airdash,77,0,
airbackdash,78,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
22D,53,0,
214214C,164,,
