MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
5C~C,485,,
2B~2B,486,,
5A6A,,,
5A6AA,,,
4B,381,,
4C,,,
3C,,,
6C,,,
Throw,64,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,125,,
22B,126,0,
22C,127,0,
2222C,128,,
22222C,459,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,170,,
236B,171,,
236C,172,,
236A~A,170,,
236B~A,171,,
236X~B,416,,
236X~C,415,,
j.236A,,,
j.236B,,,
j.236C,,,
623A,,,
623B,,,
623C,,,
j.623A,,,
j.623B,,,
j.623C,,,
214A,77,0,
214B,78,0,
214C,79,0,
j.214A,410,0,
j.214B,411,0,
j.214C,412,0,
421A,,,
421B,,,
421C,,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,80,0,
AD,201,,
AAD,217,,
j.IH,0,,
IH,0,,
214D,235,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,60,0,
backdash,61,0,
airdash,56,0,
airbackdash,57,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
22D,53,0,
214214C,137,,
