MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5[B],2,,
5C,3,,
5[C],3,,
2A,4,,
2B,5,,
2C,6,,
2[C],6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6C,79,,
3C,78,,
Throw,100,,
gAT,274,,
AT,272,,
22A,150,,
22B,151,,
22C,152,,
236A,90,,
236B,91,,
236C,92,,
j.236A,206,,
j.236B,207,,
j.236C,208,,
623A,172,,
623B,173,,
623C,174,,
214A,109,,
214B,110,,
214C,111,,
j.214A,70,,
j.214B,71,,
j.214C,72,,
421A,450,,
421B,455,,
421C,420,,
63214C,80,,
AD,228,,
AAD,229,,
214D,169,,
5D,83,,
2D,84,,
j.5D,85,,
dash,63,,
backdash,64,,
airdash,58,,
airbackdash,59,,
