MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5[B],2,,
5C,3,,
5[C],3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
j.2B,190,,
6A,191,,
6[A],191,,
6A~6B,192,,
6A~6B~6C,193,,
Throw,100,,
gAT,274,,
AT,272,,
22A,150,,
22B,151,,
22C,152,,
236A,90,,
236B,91,,
236C,92,,
j.236A,181,,
j.236B,182,,
j.236C,183,,
623A,172,,
623B,173,,
623C,174,,
214A,109,,
214B,110,,
214C,111,,
j.214A,70,,
j.214B,71,,
j.214C,72,,
421A,410,,
421B,411,,
421C,412,,
63214X,80,,
AD,200,,
AAD,201,,
214D,169,,
5D,83,,
2D,84,,
j.5D,85,,
