MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,,,
6AA,,,
5A6A,,,
5A6AA,,,
5B~B,,,
4C,71,,
3C,466,,
6C,467,,
Throw,55,,
gAT,272,,
AT,273,,
AT(whiff),271,,
22A,430,,
22B,431,,
22C,432,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,400,0,
236B,401,0,
236C,402,,
j.236A,,,
j.236B,,,
j.236C,,,
623A,410,,
623B,411,,
623C,412,,
j.623A,,,
j.623B,,,
j.623C,,,
214A,420,0,
214B,421,0,
214C,422,0,
j.214A,,,
j.214B,,,
j.214C,,,
421A,,,
421B,,,
421C,,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,,,
AD,200,0,
AAD,200,0,
j.IH,0,,
IH,0,,
214D,,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,65,0,
backdash,67,0,
airdash,77,0,
airbackdash,78,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
