MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,,,
6AA,,,
5A6A,,,
5A6AA,,,
5BB,,,
4C,60,,
3C,,,
6C,,,
Throw,65,,
gAT,274,,
AT,272,,
AT(whiff),271,,
22A,,,
22B,,,
22C,,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,120,0,
236B,121,0,
236C,122,0,
j.236A,,,
j.236B,,,
j.236C,,,
214A,130,0,
214B,131,0,
214C,133,0,
j.214A,,,
j.214B,,,
j.214C,,,
623A,406,0,
623B,405,0,
623C,407,0,
j.623A,,,
j.623B,,,
j.623C,,,
421A,105,0,
421B,106,0,
421C,107,0,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,150,,
AD,182,,
AAD,174,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,71,0,
backdash,70,0,
airdash,80,0,
airbackdash,81,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
