MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6B,151,,
6C,152,,
4C,153,,
3C,158,,
AT,272,,
gAT,273,,
throw,276,,
236A,85,,
236B,86,0,
236B~A,90,,
236B~B,91,,
236B~C,92,,
236C,87,,
214A,130,,
214B,131,,
214C,132,,
623A,105,,
623A~A,196,,
623B,106,,
623C,107,,
j.236A,115,,
j.236A~A,196,,
j.236B,116,,
j.236C,117,,
j.214A,135,,
j.214B,136,,
j.214C,137,,
walk forward,10,,
dash,60,,
