MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6B,374,,
6C,490,,
j.6C,445,,
Throw,86,,
gAT,194,,
AT,192,,
236A,125,,
236B,126,,
236C,127,,
623A,425,,
623B,426,,
623C,427,,
j.623A,430,,
j.623B,431,,
j.623C,432,,
214A,110,,
214B,111,,
214C,112,,
63214A,130,,
63214B,131,,
63214C,132,,
AD,400,,
AAD,401,,
214D,102,,
5D,56,,
2D,57,,
j.5D,58,,
dash,70,,
backdash,71,,
airdash,73,,
airbackdash,75,,
