MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6C,386,,
Throw,269,0,
gAT,274,0,
AT,272,0,
22A,105,,
22B,101,,
22C,103,,
236A,401,,
236B,402,,
236C,403,,
623A,490,,
623B,491,,
623C,492,,
j.623A,496,,
j.623B,497,,
j.623C,498,,
214A,580,,
214B,581,,
214C,582,,
j.214A,295,,
j.214B,296,,
j.214C,297,,
AD,150,,
AAD,180,,
214D,85,,
5D,80,,
2D,81,,
j.5D,82,,
dash,46,,
backdash,47,,
airdash,68,,
airbackdash,69,,
