MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,,,
6AA,,,
5A6A,,,
5A6AA,,,
6B,245,,
6C,154,,
3C,,,
Throw,276,,
gAT,273,,
AT,271,,
AT(whiff),270,,
22A,390,,
22B,391,,
22C,392,,
j.22A,385,,
j.22B,386,,
j.22C,387,,
22X,400,,
j.22X,401,,
236A,310,,
236B,311,,
236C,312,,
j.236A,313,,
j.236B,314,,
j.236C,315,,
214A,180,,
214B,181,,
214C,182,,
j.214A,335,,
j.214B,336,,
j.214C,337,,
623A,230,,
623B,231,,
623C,232,,
421A,,,
421B,,,
421C,,,
63214C,201,,
AD,371,,
AAD,375,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,60,0,
backdash,61,0,
airdash,63,0,
airbackdash,67,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
