MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
3C,490,,
Throw,85,,
gAT,274,,
AT,272,,
AT(whiff),271,,
22A,100,,
22B,101,,
22C,102,,
63214C,180,,
j.63214C,420,,
236A,136,,
236B,137,,
236C,138,,
623A,462,,
623B,461,,
623C,142,,
214A,475,,
214B,478,,
214[B](Lv 2),479,,
214[B](Lv 3),480,,
214[B](Lv 4),481,,
214C,112,,
421A,450,,
421B,451,,
421C,452,,
AD,150,,
AAD,150,,
heat,250,,
dodge,78,0,
airdodge,270,0,
214D,175,,
5D,90,0,
2D,91,0,
j.5D,92,0,
airdash,55,0,
airbackdash,56,0,
walk,10,0,
backwalk,11,0,
dash,80,0,
backdash,81,0,
