MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6B,58,,
6AA,,,
5A6A,,,
5A6AA,,,
j.2C,490,,
6C~4C,60,,
3C,61,,
6C,59,,
Throw,63,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,,,
22B,,,
22C,,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,100,,
236B,102,,
236C,435,,
j.236A,,,
j.236B,,,
j.236C,,,
214A,115,,
214B,116,,
214C,117,,
j.214A,120,,
j.214B,121,,
j.214C,122,,
623A,110,,
623B,111,,
623C,112,,
j.623A,485,,
j.623B,486,,
j.623C,487,,
421A,478,,
421B,478,,
421C,83,,
421[A],81,,
421[B],82,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,,,
AD,150,,
AAD,146,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,55,0,
backdash,56,0,
airdash,43,0,
airbackdash,44,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
