MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,,,
6AA,,,
5A6A,,,
5A6AA,,,
2C~2C,57,,
4B,47,,
3C,370,,
j.2C,56,,
Throw,106,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,182,0,
22B,183,0,
22C,184,0,
22D,185,0,
j.22A,,,
j.22B,,,
j.22C,,,
236A,115,,
236B,116,,
236C,117,,
j.236A,119,,
j.236B,120,,
j.236C,121,,
214A,142,,
214B,143,,
214C,144,,
214B~214A,179,0,
214B~214B,180,,
j.214A,179,0,
j.214B,147,,
j.214C,148,,
623A,195,,
623B,196,,
623C,197,,
j.623A,,,
j.623B,,,
j.623C,,,
421A,405,0,
421B,406,0,
421C,407,,
j.421A,,,
j.421B,,,
j.421C,,,
63214A,110,,
63214B,111,,
63214C,112,,
AD,150,,
AAD,151,,
j.IH,,,
IH,0,,
214D,101,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,60,0,
backdash,61,0,
airdash,62,0,
airbackdash,63,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
