MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,,,
6AA,,,
5A6A,,,
5A6AA,,,
5B~B,,,
4C,,,
j.2C,73,,
6C,72,,
Throw,45,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,100,,
22B,101,,
22C,102,,
j.22A,470,0,
j.22B,471,0,
j.22C,472,0,
236A,180,,
236B,181,,
236C,182,,
j.236A,450,,
j.236B,451,,
j.236C,452,,
623A,120,,
623B,121,,
623C,122,,
j.623A,,,
j.623B,,,
j.623C,,,
214A,190,0,
214B,191,0,
214C,192,0,
j.214A,475,0,
j.214B,476,0,
j.214C,477,0,
421A,170,,
421B,171,,
421C,172,,
j.421A,75,,
j.421B,77,,
j.421C,89,,
63214C,193,,
AD,150,,
AAD,158,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,56,0,
backdash,55,0,
airdash,58,0,
airbackdash,59,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
