MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,,,
6AA,,,
5A6A,,,
j.2C,58,,
6C,60,,
4C,80,,
3C,445,,
Throw,62,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,420,0,
22B,421,0,
22C,422,0,
236A,114,,
236B,115,,
236C,116,,
j.236A,117,,
j.236B,118,,
j.236C,119,,
214A,400,,
214B,401,,
214C,402,,
623A,205,,
623B,206,,
623C,207,,
421A,437,0,
421B,438,0,
421C,439,0,
63214C,,,
AD,226,,
AD(grab),220,,
AAD,229,,
AAD(grab),238,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,43,0,
backdash,45,0,
airdash,46,0,
airbackdash,47,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
