MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,,,
6AA,,,
5A6A,,,
5A6AA,,,
5B~B,,,
4C,46,,
3C,170,,
6C,,,
Throw,63,0,
gAT,273,0,
AT,272,0,
AT(whiff),271,,
22A,147,,
22B,148,,
22C,149,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,435,,
236B,436,,
236C,470,,
j.236A,,,
j.236B,,,
j.236C,,,
623A,400,,
623B,401,,
623C,402,,
j.623A,405,,
j.623B,406,,
j.623C,407,,
214A,72,0,
214B,73,0,
214C,475,,
j.214A,75,0,
j.214B,76,0,
j.214C,77,0,
421A,511,,
421B,512,,
421C,530,,
421X~421X,526,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,577,,
AD,116,,
AAD,117,,
j.IH,0,,
IH,0,,
214D,96,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,60,0,
backdash,61,0,
airdash,43,0,
airbackdash,44,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
