MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,,,
6AA,,,
5A6A,,,
5A6AA,,,
2BB,,,
3C,476,,
j.2C,53,,
4C,61,,
3B,390,,
4B,90,,
4B~236B,91,,
Throw,65,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,150,,
22B,151,,
22C,152,,
j.22A,156,,
j.22B,157,,
j.22C,158,,
236A,470,,
236B,471,,
236C,472,,
j.236A,95,0,
j.236B,96,,
j.236C,97,,
214A,420,,
214B,430,,
214C,425,,
214B~4A,,,
214B~4B,,,
214B~4X~4A,,,
214B~4X~4B,,,
214B~4X~4A~4B,,,
j.214A,160,,
j.214B,161,,
j.214C,490,,
j.214B~4B,,,
j.214B~4B~4B,,,
623A,485,,
623B,486,,
623C,487,,
j.623A,,,
j.623B,,,
j.623C,,,
421A,,,
421B,,,
421C,,,
j.421A,,,
63214A,458,,
63214B,462,,
63214C,463,,
AD,200,,
AAD,230,,
j.IH,266,,
IH,0,,
214D,,,
Shield Counter,465,,
Low SC,466,,
Jump SC,467,,
dash,45,0,
backdash,46,0,
airdash,68,0,
airbackdash,69,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
