MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
j.5[C],9,,
6C,124,,
6[C],124,,
j.6B,290,,
j.6[B],290,,
Throw,276,,
gAT,272,,
AT,270,,
22A,170,,
22B,171,,
22C,172,,
22D,90,,
236A,160,,
236B,161,,
236C,162,,
623A,230,,
623B,231,,
623C,232,,
214A,140,,
214B,141,,
214C,142,,
214(A/B)~X,149,,
AD,300,,
AAD,301,,
j.IH,0,,
IH,0,,
214D,72,,
Shield Counter,285,,
Low Shield Counter,285,,
Jump SC,287,,
5D,56,,
2D,57,,
j.5D,58,,
dash,60,,
backdash,61,,
airdash,63,,
airbackdash,64,,
22D,90,0,
