MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6C,526,,
3C,186,,
3C~3C,531,,
3CC,531,,
"j,2C",70,,
j.6B,495,,
6B,186,,
4B,73,,
Throw,55,,
gAT,273,,
AT,272,,
22A,430,0,
22B,444,0,
22C,437,0,
j.22C,,,
63214C,,,
236A,370,,
236B,371,,
236C,372,,
236X~236A,387,,
236X~236B,386,,
236X~236C,386,,
623A,401,,
623B,403,,
623C,402,,
214A,500,,
214B,501,,
214A~3,500,,
214B~3,501,,
214A~2,500,,
214B~2,501,,
214A~1,500,,
214B~1,501,,
214A~6,500,,
214B~6,501,,
214C,502,,
421A,,,
421B,,,
421C,,,
AD,206,,
AAD,206,,
j.IH,0,,
IH,0,,
214D,,,
Shield Counter,475,,
Low Shield Counter,476,,
Jump SC,477,,
5D,,,
2D,,,
j.5D,,,
airdash,77,0,
airbackdash,78,0,
walk,10,0,
backwalk,11,0,
dash,65,0,
backdash,67,0,
4,10,0,
6,11,0,
