MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6C,76,,
5[C],75,,
5[C]~2,75,,
2[C],6,,
j.5[C],9,,
Throw,70,,
gAT,274,,
AT,272,,
22A,100,,
22B,101,,
22C,102,,
j.22A,443,,
j.22B,444,,
j.22C,445,,
236A,125,,
236A~236A,126,,
236A~236A,127,,
236B,128,,
236B~236B,129,,
236B~236B,130,,
236X~236X~236C,432,,
236C,131,,
623A,465,,
623B,466,,
623C,467,,
214A,110,,
214X~4,114,,
214X~2,116,,
214X~236C,112,,
214B,115,,
214C,117,,
j.214A,392,,
j.214B,393,,
j.214C,471,,
421A,220,0,
421B,221,0,
421C,222,0,
AD,150,,
AAD,155,,
j.IH,,,
IH,0,,
214D,180,,
Shield Counter,442,,
Low Shield Counter,,,
Jump SC,,,
5D,65,,
2D,66,,
j.5D,67,,
dash,60,,
backdash,61,,
airdash,62,,
airbackdash,63,,
