MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,,,
6AA,,,
5A6A,,,
5A6AA,,,
4B,210,,
4C,,,
3C,66,,
j.2C,65,,
Throw,105,0,
gAT,276,0,
AT,272,0,
AT(whiff),271,,
22A,,,
22B,,,
22C,,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,377,0,
236B,378,0,
236C,379,0,
j.236A,,,
j.236B,,,
j.236C,,,
214A,390,0,
214B,391,0,
214C,392,,
j.214A,450,0,
j.214B,451,0,
j.214C,452,,
214X(activate),460,,
j.214X,466,,
623A,110,,
623B,111,,
623C,112,,
j.623A,,,
j.623B,,,
j.623C,,,
421A,,,
421B,,,
421C,,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,,,
AD,150,,
AAD,155,,
j.IH,,,
IH,0,,
214D,101,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,60,0,
backdash,61,0,
airdash,62,0,
airbackdash,63,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
