MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
3C,630,,
3C~3C,531,,
5A6A,,,
5A6AA,,,
6B,,,
4C,,,
4B,,,
6C,,,
j.2C,,,
Throw,55,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,430,,
22B,444,,
22C,437,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,550,0,
236B,551,0,
236C,552,0,
236D,553,0,
236C~236A,585,2,
236C~236B,586,2,
236C~236C,587,2,
j.236A,561,0,
j.236B,562,0,
j.236C,563,0,
623A,,,
623B,,,
623C,,,
j.623A,,,
j.623B,,,
j.623C,,,
214A,600,,
214B,601,,
214C,602,,
j.214A,,,
j.214B,,,
j.214C,,,
421A,,,
421B,,,
421C,,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,112,,
AD,203,,
AAD,278,,
j.IH,0,,
IH,0,,
214D,181,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,65,0,
backdash,67,0,
airdash,77,0,
airbackdash,78,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
214214C,164,,
