MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,,,
6AA,,,
5A6A,,,
5A6AA,,,
4B,,,
4C,,,
3C,521,,
6C,,,
Throw,64,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,125,,
22B,126,0,
22C,127,0,
2222C,128,,
22222C,459,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,550,0,
236B,551,0,
236C,552,0,
236C~236A,585,2,
236C~236B,586,2,
236C~236C,587,2,
j.236A,610,0,
j.236B,611,0,
j.236C,612,0,
623A,,,
623B,,,
623C,,,
j.623A,,,
j.623B,,,
j.623C,,,
214A,600,0,
214B,601,0,
214C,602,0,
j.214A,605,0,
j.214B,606,0,
j.214C,607,0,
421A,,,
421B,,,
421C,,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,80,0,
AD,201,,
AAD,217,,
j.IH,0,,
IH,0,,
214D,235,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,60,0,
backdash,61,0,
airdash,56,0,
airbackdash,57,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
22D,53,0,
214214C,137,,
