MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
6C,405,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
Throw,75,,
gAT,273,,
AT,272,,
AT (whiff),271,0,
22A,160,,
22B,161,,
22C,140,,
236A,407,,
236B,408,,
236C,409,,
623A,450,,
623A~A,451,,
623B,452,,
623B~B,453,,
623C,157,,
j.623A,170,,
j.623B,171,,
j.623C,172,,
214A,185,,
214B,426,,
214C,435,,
421A,411,,
421B,412,,
421C,413,,
j.421A,414,,
j.421B,415,,
j.421C,416,,
AD,199,,
AAD,199,,
j.IH,,,
IH,,,
214D,120,,
Shield Counter,,,
Low Shield Counter,,,
Jump SC,143,,
5D,67,,
2D,68,,
j.5D,69,,
walk,,,
airdash,63,,
dash,54,,
airbackdash,64,,
