MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
2[C],6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6C,79,,
3C,78,,
Throw,100,,
gAT,274,,
AT,272,,
22A,480,,
22B,485,,
22C,410,,
236A,570,,
236B,571,,
236C,572,,
j.236A,206,,
j.236B,207,,
j.236C,208,,
623A,172,,
623B,173,,
623C,174,,
214A,515,,
214B,516,,
214C,517,,
j.214A,70,,
j.214B,71,,
j.214C,72,,
63214C,80,,
AD,228,,
AAD,229,,
j.IH,0,,
IH,0,,
214D,169,,
Shield Counter,440,,
Low Shield Counter,441,,
Jump SC,442,,
5D,83,,
2D,84,,
j.5D,85,,
