MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,191,,
6A~6B,192,,
6A~6B~6C,193,,
j.2B,190,,
j.2C,68,,
Throw,100,,
gAT,274,,
AT,272,,
22A,150,,
22B,151,,
22C,152,,
63214C,80,,
236A,400,,
236B,401,,
236C,402,,
j.236,181,,
j.236,182,,
j.236,183,,
623A,172,,
623B,173,,
623C,174,,
214A,390,,
214B,391,,
214C,392,,
j.214A,70,,
j.214B,71,,
j.214C,72,,
AD,200,,
AAD,201,,
j.IH,,,
IH,0,,
214D,169,,
Shield Counter,,,
Low Shield Counter,,,
Jump SC,,,
5D,83,,
2D,84,,
j.5D,85,,
dash,63,,
backdash,64,,
airdash,58,,
airbackdah,59,,
