MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6C,500,,
4C,60,,
3C,401,,
Throw,65,,
gAT,274,,
AT,272,,
63214C,450,,
236A,120,,
236B,420,,
236C,422,,
214A,480,,
214B,485,,
214C,505,,
421A,452,,
421B,451,,
421C,490,,
AD,182,,
AAD,174,,
j.IH,266,0,
IH,0,0,
214D,90,,
Shield Counter,440,,
Jump SC,441,,
5D,73,,
2D,74,,
j.5D,75,,
airdash,80,0,
airbackdash,81,0,
dash,71,0,
44,70,0,
6,10,0,
4,11,,
