MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
3B,151,,
5BB,2,,
5B~B,2,,
6B,154,,
3C,158,,
j.6C,164,,
AT,272,,
gAT,273,,
Throw,276,,
63214A,100,,
63214A~X,100,,
63214B,101,,
63214C,102,,
236A,110,,
236B,111,,
236C,112,,
623A,105,,
623A~X,196,,
623B,106,,
623C,107,,
214A,120,,
214B,121,,
214C,122,,
j.214A,145,,
j.214B,146,,
j.214C,147,,
j.236A,115,,
j.236A~X,196,,
j.236B,116,,
j.236C,117,,
AD,200,,
AAD,206,,
j.IH,0,,
IH,0,,
214D,75,,
5D,70,,
2D,71,,
j.5D,72,,
walk forward,10,,
dash,60,,
airdash,63,,
