MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6B,374,,
6C,92,,
j.6C,445,,
Throw,86,,
gAT,194,,
AT,192,,
236A,175,,
236B,179,,
236C,485,,
623A,440,,
623B,441,,
623C,442,,
214A,437,,
214B,348,,
214C,112,,
AD,400,,
AAD,401,,
j.IH,0,,
IH,0,,
214D,102,,
Shield Counter,452,,
Low Shield Counter,,,
Jump SC,,,
5D,56,,
2D,57,,
j.5D,58,,
dash,70,,
backdash,71,,
airdash,73,,
airbackdash,75,,
