MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
j.5[C],9,,
6C,386,,
Throw,269,,
gAT,274,,
AT,272,,
236A,477,,
236B,478,,
236C,482,,
623A,490,,
623B,491,,
623C,492,,
214A,408,,
214B,409,,
214C,445,,
AD,150,,
AAD,180,,
j.IH,,,
IH,0,,
214D,85,,
Shield Counter,440,,
Low Shield Counter,441,,
Jump SC,442,,
5D,80,,
2D,81,,
j.5D,82,,
dash,46,,
backdash,47,,
airdash,68,,
airbackdash,69,,
