MoveName,SequenceNumber,IsHit
5A,1,
5B,2,
5C,3,
2A,4,
2B,5,
2C,6,
j.5A,7,
j.5B,8,
j.5C,9,
4C,194,
3C,365,
throw,71,
gAT,274,
AT,272,
214D,85,
stShCounter,250,
jShCounter,252,
22A,740,
22B,741,
22C,742,
22X(pickup),524,0
j.22A,535,
j.22B,538,
j.22C,578,
214A,515,
214B,516,
214C,517,
623A,590,
623B,591,
623C,592,
j.236A,385,
j.236B,386,
j.236C,387,
421A,593,
421B,594,
421C,595,
(airtech)##A,480,
(airtech)##B,481,
(airtech)##C,482,
63214C,573,0
63214C~5X,713,
63214C~6X,714,
63214C~2X,715,
63214C~8X,716,
63214C~4X,717,
rekkas,---,
236A,371,
236B,372,
236C,397,
236X~236A,390,
236X~236B,390,
236X~214A,392,
236X~214B,392,
236X~214D,383,
236X~236X~236A,382,
236X~236X~236B,377,
236X~236X~236C,378,
236X~236X~214X,381,
236X~236X~214D,381,
