MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,,,
6AA,,,
5A6A,,,
5A6AA,,,
5BB,,,
4C,,,
3C,150,,
Throw,276,,
gAT,273,,
AT,271,,
AT(whiff),270,,
22A,220,,
22B,221,,
22C,222,,
236A,440,,
236B,441,,
236C,442,,
j.236A,405,,
j.236B,406,,
j.236C,407,,
214A,480,,
214B,481,,
214C,482,,
623A,230,,
623B,231,,
623C,232,,
421A,,,
,,,
421C,,,
63214C,201,,
AD,371,,
AAD,375,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,60,0,
backdash,61,0,
airdash,63,0,
airbackdash,64,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
