MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
3C,490,,
Throw,85,,
gAT,274,,
AT,272,,
22A,380,,
22B,381,,
22C,382,,
63214C,181,,
236A,511,,
236B,143,,
236C,145,,
623A(hit),462,,
623A,186,,
623[A],185,,
623B,144,,
623[B],143,,
623C,149,,
214A,475,,
214B,478,,
214[B],481,,
214C,481,,
421A,454,,
421B,454,,
421C,455,,
AD,150,,
AAD,160,,
j.IH,0,,
IH,0,,
214D,175,,
Shield Counter,440,,
Low Shield Counter,442,,
Jump SC,441,,
5D,90,,
2D,91,,
j.5D,92,,
airdash,55,0,
airbackdash,56,0,
walk,10,0,
backwalk,11,0,
dash,80,0,
backdash,81,0,
