MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6B,191,,
6AA,,,
5A6A,,,
5A6AA,,,
5BB,,,
4C,,,
3C,,,
Throw,59,,
gAT,273,,
AT,272,,
AT(whiff),271,0,
22A,245,,
22B,246,0,
22C,236,,
22D,247,,
236A,405,,
236B,406,,
236C,407,,
214A,110,,
214B,111,,
214C,112,,
623A,400,,
623B,401,,
623C,399,,
421A,,,
421B,,,
421C,,,
63214C,,,
AD,200,,
AAD,204,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,56,0,
backdash,55,0,
airdash,80,0,
airbackdash,81,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
