MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
2BB,5,,
2B~2B,5,,
2BBB,112,,
2B~2B~2B,112,,
6C,60,,
4C,80,,
3C,445,,
Throw,62,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,400,0,
22B,401,0,
22C,402,0,
j.22A,404,0,
j.22B,405,0,
j.22C,406,0,
22A(activate),407,,
22B(activate),408,,
22C(activate),409,,
j.22A(activate),425,,
j.22B(activate),426,,
j.22C(activate),427,,
22A~6(activate),407,,
22B~6(activate),408,,
22C~6(activate),409,,
j.22A~6(activate),425,,
j.22B~6(activate),426,,
j.22C~6(activate),427,,
236A,505,,
236B,506,,
236C,507,,
j.236A,520,,
j.236B,521,,
j.236C,522,,
214A,180,,
214B,181,,
214C,182,,
j.214A,485,,
j.214B,486,,
j.214C,487,,
623A,554,,
623B,206,,
623C,206,,
421A,,,
421B,,,
421C,,,
63214C,,,
AD,541,,
AAD,542,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,43,0,
backdash,45,0,
airdash,46,0,
airbackdash,47,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
