MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,,,
6AA,,,
5A6A,,,
5A6AA,,,
6B,470,,
"j,6A",,,
3C,,,
6C,225,,
j.2B,80,,
Throw,76,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,432,,
22B,433,,
22C,434,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,410,,
236B,411,,
236C,412,,
j.236A,,,
j.236B,,,
j.236C,,,
214A,471,,
214B,472,,
214C,473,,
j.214A,365,,
j.214B,366,,
j.214C,367,,
623A,125,,
623B,126,,
623C,445,,
j.623A,,,
j.623B,,,
j.623C,,,
421A,,,
421B,,,
421C,,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,,,
AD,205,,
AAD,207,,
j.IH,,,
IH,0,,
214D,85,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,57,0,
backdash,56,0,
airdash,43,0,
airbackdash,44,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
