MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,,,
6AA,,,
5A6A,,,
5A6AA,,,
2C~2C,57,,
4B,47,,
3C,370,,
j.2C,56,,
Throw,106,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,182,,
22B,477,,
22C,476,,
22D,185,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,390,,
236B,391,,
236C,392,,
j.236A,505,,
j.236B,506,,
j.236C,507,,
214A,486,0,
214B,487,0,
214C,485,0,
j.214A,179,,
j.214B,147,,
j.214C,148,,
623A,480,,
623B,481,,
623C,482,,
j.623A,,,
j.623B,,,
j.623C,,,
421A,,,
421B,,,
421C,,,
j.421A,,,
j.421B,,,
j.421C,,,
,,,
63214C,112,,
AD,150,,
AAD,151,,
j.IH,,,
IH,0,,
214D,101,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,60,0,
backdash,61,0,
airdash,62,0,
airbackdash,63,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
