MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
2A~2A,100,,
6AA,,,
5A6A,,,
5A6AA,,,
5B~B,,,
j.2C,103,,
3C,49,,
j.2B,130,,
Throw,55,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,,,
22B,,,
22C,,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,545,,
236B,540,,
236C,547,,
j.236A,,,
j.236B,,,
j.236C,,,
214A,112,,
214B,113,,
214C,114,,
j.214A,124,,
j.214B,125,,
j.214C,126,,
623A,155,0,
623B,156,0,
623C,157,,
j.623A,,,
j.623B,,,
j.623C,,,
421A,160,,
421B,161,,
421C,162,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,468,,
AD,224,,
AAD,225,,
j.IH,,,
IH,0,,
214D,78,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,46,0,
backdash,43,0,
airdash,68,0,
airbackdash,69,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
