MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,431,,
6AA,432,,
5A6A,431,,
5A6AA,432,,
5BB,59,,
5B~B,59,,
2BB,5,,
2B~2B,5,,
2BBB,112,,
2B~2B~2B,112,,
4C,80,,
6C,60,,
j.2C,58,,
Throw,62,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,160,0,
22B,161,0,
22C,162,,
j.22A,173,,
j.22B,174,,
j.22C,175,,
236A,449,,
236B,450,,
236C,451,,
j.236A,460,0,
j.236B,461,0,
j.236C,462,0,
214A,180,,
214B,181,,
214C,182,,
623A,205,,
623B,206,,
623C,207,,
421A,,,
421B,,,
421C,,,
63214C,,,
AD,220,,
AAD,,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,465,,
Low SC,466,,
Jump SC,467,,
dash,43,0,
backdash,45,0,
airdash,46,0,
airbackdash,47,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
