MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,387,,
6AA,388,,
5A6A,387,,
5A6AA,388,,
5B~B,,,
4C,46,,
3C,170,,
6C,,,
Throw,63,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,147,,
22B,148,,
22C,149,,
j.22A,172,,
j.22B,173,,
j.22C,174,,
236A,108,,
236B,102,,
236[B],103,,
236C,142,,
j.236A,172,,
j.236B,173,,
j.236C,174,,
623A,68,,
623B,69,,
623C,70,,
j.623A,535,,
j.623B,536,,
j.623C,536,,
214A,445,,
214B,446,,
214C,447,,
j.214A,75,0,
j.214B,76,0,
j.214C,77,0,
421A,207,0,
421B,208,0,
421C,209,0,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,235,,
AD,116,,
AAD,117,,
j.IH,0,,
IH,0,,
214D,96,,
Shield Counter,,,
Low SC,,,
Jump SC,,,
dash,60,0,
backdash,61,0,
airdash,43,0,
airbackdash,44,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
