MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,382,,
6AA,383,,
5A6A,382,,
5A6AA,383,,
2A~2A,100,,
4C,104,,
3C,120,,
j.2B,107,,
j.2C,436,,
Throw,55,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,150,,
22B,151,,
22C,152,,
22A~66A,128,,
22B~66B,130,,
22X~66C,132,,
j.22A,165,,
j.22B,166,,
j.22C,167,,
j.22A~66A,128,,
j.22B~66B,130,,
j.22X~66C,132,,
236A,180,,
236B,184,,
236C,188,,
236X~236A,181,,
236X~236B,185,,
236X~236X~236A,182,,
236X~236X~236B,186,,
236X~236X~214A,187,,
236X~236X~214B,187,,
j.236A,,,
j.236B,,,
j.236C,,,
214A,122,,
214B,123,,
214C,124,,
j.214A,,,
j.214B,,,
j.214C,,,
623A,175,,
623B,425,,
623C,177,,
623A~6A,178,,
623B~6B,427,,
j.623A,,,
j.623B,,,
j.623C,,,
421A,155,0,
421B,156,0,
421C,157,,
j.421A,388,0,
j.421B,417,0,
j.421C,389,0,
63214C,,,
AD,500,,
AAD,,,
j.IH,,,
IH,0,,
214D,96,,
Shield Counter,465,,
Low SC,466,,
Jump SC,467,,
dash,46,0,
backdash,43,0,
airdash,68,0,
airbackdash,69,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
