MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,409,,
6AA,410,,
5A6A,409,,
5A6AA,410,,
2B~2B,5,,
2C~2C,6,,
j.2C,53,,
4C,61,,
3B,390,,
4B,90,,
4B~236B,91,,
Throw,65,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,150,,
22B,151,,
22C,152,,
j.22A,156,,
j.22B,157,,
j.22C,158,,
236A,504,,
236B,506,,
236C,400,,
j.236A,95,0,
j.236B,96,,
j.236C,97,,
214A,120,,
214B,121,,
214C,122,,
214B~4A,130,,
214B~4B,124,,
214B~4X~4A,131,,
214B~4X~4B,125,,
214B~4X~4A~4B,128,,
j.214A,160,,
j.214B,161,,
j.214C,162,,
j.214B~4B,165,,
j.214B~4B~4B,168,,
623A,225,,
623B,226,,
623C,227,,
j.623A,,,
j.623B,,,
j.623C,,,
421A,,,
421B,,,
421C,,,
j.421A,,,
63214A,517,,
63214B,516,,
63214C,515,,
AD,200,,
AAD,,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,465,,
Low SC,466,,
Jump SC,467,,
dash,45,0,
backdash,46,0,
airdash,68,0,
airbackdash,69,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
