MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,126,,
6AA,127,,
5A6A,126,,
5A6AA,127,,
j.6B,290,,
4C,,,
3C,121,,
6C,124,,
Throw,276,0,
gAT,272,0,
AT,270,0,
AT(whiff),271,0,
22A,170,,
22B,171,,
22C,172,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,160,,
236B,161,,
236C,162,,
j.236A,195,,
j.236B,196,,
j.236C,197,,
214A,150,0,
214B,151,,
214C,152,,
j.214A,240,,
j.214B,241,,
j.214C,242,,
623A,230,,
623B,231,,
623C,232,,
j.623A,,,
j.623B,,,
j.623C,,,
421A,,,
421B,,,
421C,,,
j.421A,,,
j.421B,,,
j.421C,,,
j.63214C,181,,
AD,300,,
AAD,,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,285,,
Low SC,286,,
Jump SC,287,,
dash,60,0,
backdash,61,0,
airdash,63,0,
airbackdash,64,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
22D,90,0,
