MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6C,71,,
6C~C,125,,
6CC,125,,
6C~6C~236C,126,,
6CC236C,126,,
j.2C,70,,
"j,2C",70,,
j.6B,495,,
6B,186,,
4B,73,,
6A,405,,
6AA,406,,
5A6A,405,,
5A6AA,406,,
5BB,,,
4C,,,
3C,,,
Throw,55,,
gAT,273,,
AT,272,,
22A,410,0,
22B,411,0,
22C,460,0,
63214C,,,
236A,365,,
236B,366,,
236C,372,,
236A~236A,387,,
236B~236B,386,,
j.236A,377,,
j.236B,378,,
j.236C,379,,
"j,236A",377,,
"j,236B",378,,
"j,236C",379,,
623A,160,,
623B,161,,
623C,162,,
214A,520,,
214B,521,,
214C,502,,
421A,,,
421B,,,
421C,,,
AD,206,,
AAD,,,
j.IH,,,
IH,0,,
214D,181,,
Shield Counter,475,,
Low SC,476,,
Jump SC,477,,
5D,,,
2D,,,
j.5D,,,
airdash,77,0,
airbackdash,78,0,
walk,10,0,
backwalk,11,0,
dash,65,0,
backdash,67,0,
4,10,0,
6,11,0,
