MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,541,,
6AA,542,,
5A6A,541,,
5A6AA,542,,
5B~B,,,
4C,,,
3C,,,
6C,,,
Throw,67,,
gAT,274,,
AT,272,,
AT(whiff),271,,
22A,685,0,
22B,686,0,
22C,687,,
236A~X,151,,
236B~X,152,,
236A,170,,
236B,171,,
236C,172,,
j.236A,,,
j.236B,,,
j.236C,,,
623A,620,,
623B,621,,
623C,6211,,
j.623A,,,
j.623B,,,
j.623C,,,
214A,600,,
214B,601,,
214C,602,,
j.214A,605,,
j.214B,606,,
j.214C,607,,
421A,,,
421B,,,
421C,,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,680,,
AD,201,,
AAD,217,,
j.IH,0,,
IH,0,,
214D,235,,
Shield Counter,405,,
Low SC,406,,
Jump SC,407,,
dash,60,0,
backdash,61,0,
airdash,56,0,
airbackdash,57,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
