MoveName,SequenceNumber,,FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
~6A,541,,
~6AA,542,,
6A,541,,
6AA,542,,
6A~6A,542,,
5A6A,541,,
5A6AA,542,,
throw,64,,
gAT,274,,
AT,272,,
214D,235,,
Shield bunker,275,,
Shield counter,405,,
cr.Shield counter,406,,
j.Shield counter,407,,
22A,490,,
22B,491,,
22C,492,,
214A,96,,
214A~A,96,,
214B,97,,
214B~A,97,,
214C,98,,
j214A,100,,
j214B,425,,
j214C,102,,
623A,450,,
623[A],450,,
623B,451,,
623C,452,,
236A,170,,
236[A],170,,
236B,171,,
236C,172,,
236A~A,170,,
236A~B,416,0,
236[A]~A,170,,
236[A]~B,416,0,
236A~C,415,0,
236B~A,171,,
236B~B,416,0,
236B~C,415,0,
j236A,422,0,
j236B,421,0,
j236C,418,,
63214C,112,,
43216C,201,,
airdash,56,,
airbackdash,57,,
dash,60,,
