MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
5A~6A,421,,
5A~6A~6A,422,,
5A6A,421,,
5A6AA,422,,
6C,76,,
Throw,70,,
gAT,274,,
AT,272,,
22A,100,,
22B,101,0,
22C,102,,
j.22A,443,0,
j.22B,444,0,
j.22C,445,0,
236A,125,,
236B,128,,
236C,131,,
j.236A,90,,
j.236A~j.236X,98,,
j.236B,91,,
j.236B~j.236X,98,,
j.236C,92,,
623A,417,,
623B,186,,
623B~236X,98,,
623C,187,,
214A,110,,
214B,115,,
214C,117,,
214X~4,114,,
214X~2,116,,
214X~236C,112,,
AD,150,,
AAD,0,,
j.IH,0,,
IH,0,,
214D,180,,
Shield Counter,442,,
Low SC,443,,
Jump SC,441,,
5D,65,,
2D,66,,
j.5D,67,,
dash,60,,
backdash,61,,
airdash,62,,
airbackdash,63,,
