MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,426,,
6AA,427,,
5A6A,426,,
5A6AA,427,,
4B,210,,
j.2C,65,,
3C,66,,
6C,,,
Throw,105,,
gAT,276,,
AT,272,,
AT(whiff),271,,
22A,,,
22B,,,
22C,,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,115,,
236B,116,,
236C,117,,
j.236A,119,,
j.236B,120,,
j.236C,121,,
214A,85,,
214B,86,,
214C,82,,
j.214A,,,
j.214B,,,
j.214C,,,
623A,110,,
623B,111,,
623C,112,,
j.623A,,,
j.623B,,,
j.623C,,,
421A,415,,
421B,417,,
421C,420,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,,,
AD,150,,
AAD,,,
j.IH,,,
IH,0,,
214D,101,,
Shield Counter,440,,
Low SC,442,,
Jump SC,441,,
dash,60,0,
backdash,61,0,
airdash,62,0,
airbackdash,63,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
