MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,,,
6AA,,,
5A6A,,,
5A6AA,,,
4B,172,,
4C,,,
6C,71,,
j.2C,73,,
Throw,55,,
gAT,272,,
AT,273,,
AT(whiff),271,,
22A,,,
22B,,,
22C,,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,554,,
236B,555,,
236C,556,,
j.236A,380,,
j.236B,381,,
j.236C,382,,
623A,500,,
623B,501,,
623C,502,,
j.623A,505,,
j.623B,506,,
j.623C,507,,
214A,550,,
214B,551,,
214C,552,,
j.214A,,,
j.214B,,,
j.214C,,,
421A,,,
421B,,,
421C,,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,392,0,
AD,200,0,
AAD,200,0,
j.IH,0,,
IH,0,,
214D,,,
Shield Counter,440,,
Low SC,441,,
Jump SC,442,,
dash,65,0,
backdash,67,0,
airdash,77,0,
airbackdash,78,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
