MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,383,,
6AA,384,,
5A6A,383,,
5A6AA,384,,
6B,62,,
5B~B,2,,
3C,,,
6C,60,,
Throw,75,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,160,,
22B,161,,
22C,162,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,407,,
236B,408,,
236C,409,,
236X~6A,,,
236X~6B,,,
236X~6C,,,
j.236A,417,,
j.236B,418,,
j.236C,419,,
623A,155,,
623B,156,,
623C,157,,
j.623A,,,
j.623B,,,
j.623C,,,
214A,185,,
214B,426,,
214C,435,,
j.214A,,,
j.214B,,,
j.214C,,,
421A,411,,
421B,412,,
421C,413,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,,,
AD,200,,
AAD,204,,
j.IH,,,
IH,0,,
214D,120,,
Shield Counter,442,,
Low SC,440,,
Jump SC,441,,
dash,54,0,
backdash,55,0,
airdash,63,0,
airbackdash,64,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
