MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5[B],2,,
5C,3,,
5[C],3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,370,,
6AA,371,,
5A6A,370,,
5A6AA,371,,
6C,79,,
2C,78,,
Throw,100,,
gAT,274,,
AT,272,,
22A,500,,
22B,499,,
22C,498,,
236A,400,,
236B,401,,
236C,402,,
623A,172,,
623B,173,,
623C,174,,
214A,540,,
214B,541,,
214C,542,,
63214C,80,,
AD,228,,
AAD,229,,
214D,169,,
Shield Counter,440,,
Low SC,441,,
Jump SC,442,,
5D,83,,
2D,84,,
j.5D,85,,
dash,63,,
backdash,64,,
airdash,58,,
airbackdash,59,,
