MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,398,,
6AA,399,,
5A6A,398,,
5A6AA,399,,
5BB,,,
4C,,,
3C,,,
Throw,59,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,114,0,
22B,115,0,
22C,116,0,
j.22,82,No,
63214C,,,
214A,408,,
214B,409,,
214C,410,,
623A,118,,
623B,119,,
623C,500,,
236A,413,,
236B,414,,
236C,415,,
421A,485,,
421B,486,,
421C,487,,
AD,199,,
AAD,,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,440,,
Low SC,442,,
Jump SC,441,,
airdash,80,0,
dash,56,0,
airbackdash,81,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
backdash,55,0,
