MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,430,,
6AA,431,,
5A6AA,431,,
6C,481,,
Throw,269,0,
gAT,274,0,
AT,272,0,
236A,529,,
236B,530,,
236C,517,,
j.236A,420,,
j.236B,421,,
j.236C,422,,
623A,490,,
623B,491,,
623C,492,,
214A,500,,
214B,501,,
214C,540,,
AD,150,,
AAD,180,,
j.IH,,,
IH,0,,
214D,85,,
Shield Counter,440,,
Low SC,441,,
Jump SC,442,,
5D,80,,
2D,81,,
j.5D,82,,
dash,46,,
backdash,47,,
airdash,68,,
airbackdash,69,,
