MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,451,,
6AA,452,,
5A6A,451,,
5A6AA,452,,
6B,240,,
4C,,,
3C,,,
6C,154,,
Throw,276,,
gAT,273,,
AT,271,,
AT(whiff),270,,
22A,220,,
22B,221,,
22C,222,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,470,,
236B,471,,
236C,472,,
j.236A,,,
j.236B,,,
j.236C,,,
214A,360,0,
214B,361,0,
214C,362,0,
j.214A,365,0,
j.214B,366,0,
j.214C,367,0,
623A,230,,
623B,231,,
623C,232,,
421A,,,
421B,,,
421C,,,
63214C,201,,
AD,371,,
AAD,,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,465,,
Low SC,466,,
Jump SC,467,,
dash,60,0,
backdash,61,0,
airdash,63,0,
airbackdash,64,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
