MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,406,,
6AA,407,,
5A6A,406,,
5A6AA,407,,
3C,490,,
Throw,85,,
gAT,274,,
AT,272,,
22A,380,,
22B,381,,
22C,382,,
63214C,181,,
236A,518,,
236B,143,,
236C,145,,
623A,518,,
623B,143,,
623C,149,,
214A,110,,
214B,111,,
214C,112,,
AD,154,,
214D,175,,
Shield Counter,440,,
Low SC,442,,
Jump SC,441,,
5D,90,,
2D,91,,
j.5D,92,,
airdash,55,0,
airbackdash,56,0,
walk,10,0,
backwalk,11,0,
dash,80,0,
backdash,81,0,
