MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,470,,
6AA,471,,
5A6A,470,,
5A6AA,471,,
5BB,45,,
5B~B,45,,
6C,475,,
,,,
Throw,59,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,245,,
22B,246,,
22C,236,,
j.22C,,,
236A,105,,
236B,106,,
236C,107,,
214A,110,,
214B,111,,
214C,112,,
623A,140,,
623B,141,,
623C,142,,
421A,,,
421B,,,
421C,,,
63214C,,,
AD,200,,
AAD,,,
j.IH,,,
IH,0,,
214D,,,
Shield Counter,440,,
Low SC,441,,
Jump SC,442,,
dash,56,0,
backdash,55,0,
airdash,80,0,
airbackdash,81,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
