MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,395,,
6AA,396,,
5A6A,395,,
5A6AA,396,,
6B,470,,
"j,6A",20,,
3C,61,,
6C,225,,
j.2B,80,,
Throw,76,0,
gAT,273,0,
AT,272,0,
AT(whiff),271,0,
22A,,,
22B,,,
22C,,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,215,,
236B,216,,
236C,217,,
j.236A,436,,
j.236B,437,,
j.236C,438,,
214A,165,0,
214B,166,0,
214C,167,0,
j.214A,,,
j.214B,,,
j.214C,,,
623A,125,,
623B,126,,
623C,445,,
j.623A,,,
j.623B,,,
j.623C,,,
421A,,,
421B,,,
421C,,,
j.421A,,,
j.421B,,,
j.421C,,,
63214C,,,
AD,205,,
AAD,207,,
j.IH,,,
IH,0,,
214D,85,,
Shield Counter,440,,
Low SC,441,,
Jump SC,442,,
dash,57,0,
backdash,56,0,
airdash,43,0,
airbackdash,44,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
