MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,401,,
6AA,402,,
5A6A,401,,
5A6AA,402,,
2C~2C,57,,
4B,47,,
3C,370,,
j.2C,56,,
Throw,106,,
gAT,273,,
AT,272,,
AT(whiff),271,,
22A,182,,
22B,495,,
22C,184,,
22D,185,,
j.22A,,,
j.22B,,,
j.22C,,,
236A,115,,
236B,116,,
236C,117,,
j.236A,119,,
j.236B,120,,
j.236C,121,,
214A,460,,
214B,461,,
214C,462,,
j.214A,457,,
j.214B,458,,
j.214C,459,,
623A,195,,
623B,196,,
623C,197,,
j.623A,,,
j.623B,,,
j.623C,,,
421A,500,,
421B,501,,
421C,502,,
j.421A,,,
j.421B,,,
j.421C,,,
63214A,110,,
63214B,111,,
63214C,112,,
AD,150,,
AAD,151,,
j.IH,,,
IH,0,,
214D,101,,
Shield Counter,440,,
Low SC,442,,
Jump SC,441,,
dash,60,0,
backdash,61,0,
airdash,62,0,
airbackdash,63,0,
walk,10,0,
6,10,0,
4,11,0,
walkback,11,0,
