MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
6A,1,,
6AA,390,,
5A6A,390,,
5A6AA,391,,
6AAA,391,,
6C,72,,
j.2C,73,,
Throw,45,,
gAT,273,,
AT,272,,
22A,100,,
22B,101,,
22C,102,,
236A,180,,
236B,181,,
236C,182,,
623A,135,,
623B,136,,
623C,137,,
214A,190,,
214B,191,0,
214C,192,0,
421A,170,0,
421B,171,0,
421C,172,0,
AD,150,,
AAD,0,,
j.IH,0,,
IH,0,,
214D,130,,
Shield Counter,440,,
Low SC,442,,
Jump SC,441,,
5D,62,,
2D,63,,
j.5D,64,,
j.421A,75,,
j.421B,77,,
j.421C,89,,
Airdash,58,,
airdash,58,,
j.66,58,,
66,56,,
dash,56,,
