MoveName,SequenceNumber,"IsHit(does the move cause a hit) (0 if no hit, or blank if hit)",FrameData?(future work)
5A,1,,
5B,2,,
5C,3,,
2A,4,,
2A~A,100,,
2B,5,,
2C,6,,
j.5A,7,,
j.5B,8,,
j.5C,9,,
5C~C,105,0,
5C~C~j.5A,550,,
5C~C~j.5B,551,,
5C~C~j.5C,552,,
5C~C~j.2C,103,,
3C,120,,
4C,104,,
j.2B,107,,
j.2C,103,,
throw,55,0,
throw~2,58,0,
gAT,273,,
AT,272,,
22A,150,,
22B,151,,
22C,152,,
j.22A,165,,
j.22B,166,,
j.22C,167,,
22A~66A,128,,
22B~66B,130,,
22X~66C,132,,
j.22A~66A,128,,
j.22B~66B,130,,
j.22X~66C,132,,
63214A,390,,
63214B,391,,
63214C,411,,
j.63214A,445,,
j.63214B,446,,
j.63214C,447,,
623A,175,,
623B,425,,
623C,177,,
623A~6A,178,,
623B~6B,427,,
214A,122,,
214B,123,,
214C,124,,
214B~A,420,0,
214B~B,421,,
214B~C,422,,
AD,500,,
AAD,501,,
j.IH,,,
IH,0,,
214D,96,,
Shield Counter,,,
airdash,68,0,
airdodge,63,0,
dash,46,0,
microdash,46,,
walk,10,0,
236A,180,,
236B,184,,
236C,188,,
236X~236A,181,,
236X~236B,185,,
236X~236X~236A,182,,
236X~236X~236B,186,,
236X~236X~214A,187,,
236X~236X~214B,187,,
